Incident.Date,State,CityCounty,Address,Killed,Injured
6-May-18,Alabama,Mobile,1010 Baltimore St,0,0
6-May-18,Alabama,Birmingham,2714 Pearson Ave SW,0,1
5-May-18,Alabama,Pinson,6248 Old Springville Rd,1,0
4-May-18,Alabama,Tallapoosa County (county),N/A,0,0
4-May-18,Alabama,Bessemer,726 Academy Drive SW Suite 112,0,1
4-May-18,Alabama,Montgomery,900 block of Goodwyn Dr,1,0
4-May-18,Alabama,Bay Minette,50555 Rabun Rd,0,0
3-May-18,Alabama,Huntsville,4550 Meridian St N,0,1
3-May-18,Alabama,Cullman,N/A,0,2
2-May-18,Alabama,Mobile,2100 block of Robinson Dr,0,1
2-May-18,Alabama,Montgomery,4200 block of Lawnwood Dr,0,1
2-May-18,Alabama,Adamsville,Downey St and Old Jasper Hwy,0,1
1-May-18,Alabama,Dothan,N/A,0,0
1-May-18,Alabama,Bessemer,3rd Place S and Avenue S,1,0
1-May-18,Alabama,Alexander City,2110 County Rd,0,0
1-May-18,Alabama,Carbon Hill,Co Rd 63,2,0
1-May-18,Alabama,Birmingham,2800 block of Dawson Ave,0,1
1-May-18,Alabama,Mobile,1800 Calmes St,0,0
1-May-18,Alabama,Mobile,700 Western Dr,0,0
1-May-18,Alabama,Birmingham,2100 block of Old Springville Rd,1,0
30-Apr-18,Alabama,Birmingham,300 block of 14th St S,0,1
30-Apr-18,Alabama,Mobile,1300 block of North Dr,1,0
30-Apr-18,Alabama,Huntsville,Virginia Boulevard,0,1
30-Apr-18,Alabama,Montgomery,3543 Carter Hill Rd,0,0
30-Apr-18,Alabama,Theodore,6100 Sperry Rd,0,1
30-Apr-18,Alabama,Birmingham,3900 block of Court K,1,0
30-Apr-18,Alabama,Pinson,5700 block of Balboa Terrace,1,0
29-Apr-18,Alabama,Mobile,399 Azalea Rd,0,1
29-Apr-18,Alabama,Mobile,1010 Baltimore St,0,1
28-Apr-18,Alabama,Birmingham,N/A,0,1
28-Apr-18,Alabama,Mobile,5700 Grelot Rd,0,1
28-Apr-18,Alabama,Enterprise,700 block of Green Dr,0,1
28-Apr-18,Alabama,Selma,203 Highland Ave,1,2
28-Apr-18,Alabama,Leeds,6200 Grand River Pkwy,0,0
27-Apr-18,Alabama,Mobile,1965 Dauphin Island Pkwy,0,1
27-Apr-18,Alabama,Mobile,4055 Cottage Hill Rd,0,1
26-Apr-18,Alabama,Montgomery,Dyas Drive,0,1
26-Apr-18,Alabama,Tuscaloosa,11000 block of Oak Arbor Way,1,1
25-Apr-18,Alabama,Valley,2800 20th Avenue,0,0
25-Apr-18,Alabama,Mobile,400 N Lafayette St,1,1
24-Apr-18,Alabama,Birmingham,2501 31st Ave N,0,1
24-Apr-18,Alabama,Birmingham,1700 block of Pine St SW,0,1
24-Apr-18,Alabama,Montgomery,North Colonial Drive,0,2
24-Apr-18,Alabama,Montgomery,Whispering Pine Drive,0,1
24-Apr-18,Alabama,Birmingham (Vestavia Hills),1485 Montgomery Hwy,0,0
24-Apr-18,Alabama,Birmingham,4016 37th Ave N,1,0
24-Apr-18,Alabama,Mobile,1366 Driftwood Dr N,0,1
24-Apr-18,Alabama,Mobile,1200 Duval St,0,1
24-Apr-18,Alabama,Mobile,1400 block of Ann St,0,1
24-Apr-18,Alabama,Mobile,Basil St and Gaston St,0,0
24-Apr-18,Alabama,Mobile,Dauphin Island Pkwy and Old Military Rd,0,0
24-Apr-18,Alabama,Montgomery,1600 block of Ray Thorington Rd,0,0
24-Apr-18,Alabama,Selma,400 block of Martin Luther King St,0,0
24-Apr-18,Alabama,Selma,2900 block of W Dallas Ave,0,0
24-Apr-18,Alabama,Selma,2500 block of Alabama Ave,0,0
24-Apr-18,Alabama,Selma,600 block of Goldsby St,0,0
24-Apr-18,Alabama,Selma,1900 block of LL Anderson Ave,0,0
23-Apr-18,Alabama,Birmingham,2501 31st Ave N,0,1
23-Apr-18,Alabama,Florence,East Tuscaloosa Street,0,0
23-Apr-18,Alabama,Mobile,3000 Belmont St,0,0
22-Apr-18,Alabama,Birmingham,1412 36th St N,1,0
22-Apr-18,Alabama,Montgomery,3200 block of Mobile Highway,1,0
22-Apr-18,Alabama,Mobile,East Interstate 65 Service Rd S,0,1
22-Apr-18,Alabama,Anniston,500 Glen Addie Ave,1,0
21-Apr-18,Alabama,Birmingham,1600 block of 11th Place S,0,1
20-Apr-18,Alabama,Jasper,906 Highway 69 S,0,1
20-Apr-18,Alabama,Adamsville,4911 Main St,0,1
20-Apr-18,Alabama,Birmingham (Center Point),Center Point Parkway,0,0
